four,txt,idx
"사상체질이란?","사람들의 몸을 기본 바탕으로하여 크게 네가지의 형태로 신체를 구분하여 
각각의 특성을 정리하여 분류한 것이 사상체질이라 할 수 있습니다. 

사상체질은 더 나아가 四象醫學(사상의학)의 토대로 발전하였으며 
사상의학은 李濟馬(이제마)선생에 의해 발전 및 체계화 된 의학입니다. 

우리의 몸을 네 가지인, 
太陽(태양),  太陰(태음),  少陽(소양),  少陰(소음)으로 구분하여 이를 다시 체질과 연결하여 
태양인, 태음인, 소양인, 소음인으로 다시 분류한것입니다. 

李濟馬 선생은 자신의 저서인 東醫壽世保元(동의수세보원)을 통해 사상의학을 집성했는데 이는 
질병치료에 있어서 병의 증상과 더불어 병자의 체질을 관찰하여 치료에 이를 응용/ 발전시킨것으로 
약제를 씀에 종전의 일반적 틀을 벗어나 저마다 개인에게 맞는 약제와 음식을 섭취하게하여 병을 다스리는 것에 중점을 둔 것입니다. 

사상의학은 이렇듯 사람의 몸을 크게 네가지로 분류하여 그에맞는 장기와 신체별 특성을 구분하여 나눈 것이며, 
이를 의학으로 다시 결부하여 사람에게 맞는 올바른 건강법을 정리하여 집대성한것으로 큰 의의를 둘수있는 것입니다. 

그러므로 취약한 건강상의 어려움과 질병을 체질에 맞는 약물을 씀과, 
다시 체질에 맞는 음식물을 씀으로써 병으로부터 완쾌할 수 있게하여 
몸의 건강을 유지할 수 있는데 도움이 되는 사상의학학문으로 크게 발전한 것입니다. 

사상체질을 바로알 수 있다면 나의 체질의 특성을 파악할 수 있게 되는것이며, 
이로서 보다 건강에 촛점을 둔 음식물을 섭취함으로서 건강함과 장수를 이루는데 도움이 되는것입니다. 

체질은 대부분 사람의 모양새/ 몸의 온도/ 분비물(땀)등으로도 구분이 되지만, 항시 예외가 있는 법입니다. 
정확한 진단은 자가가 아닌 학문이 깊은 전문가(한의학관련)에게 의뢰하여 보아야 정확합니다. 

",1
"太陽人(태양인)","태양인은 몸의 기운이 상체와 두상에 크게 몰려있습니다. 
그만큼 몸에 열이많으며, 心(심)적으로 보아도 다열질이라 할 수 있을정도로 기분의 高低(고저)가 크며 변화가 쉽습니다. 
그렇기 때문에 흔히, 한국인에게 많은 火氣(화기)를 더더욱 잘 다스려야 합니다. 
급하면 체하는 것과같이 몸의 열과 마음의 화기를 잘다스려야 하며, 
그렇치 못하면 그와 관련된 폐와 간이 쇠약화되기 쉬운 체질입니다. 

태양인은, 쉽게 말해 몸이 크고 건장하며 몸의 기운이 양기를 많이 품고 있는 체질을 말합니다. 

태양인의 특징을 뽑는다면, 
신체중 상체가 크게 발달되어 있으며, 이로인해 상대적으로는 하체가 작아보이는 체격이라 할 수 있으며, 
두상이 크고 가슴이 발달되어 있어 멀리서 본다면 역삼각형의 체형으로 보이게 됩니다. 
이를 빗대어 태양인은 물고기 타잎이라 하는 말까지 있습니다. 
그만큼 전체의 풍모가 상부중심/ 상체중심이라는 것입니다. 
예를 든다면 서구인가운데 근육질의 단거리 100m선수와 같은 체형이 태양인의 대표체형인 것입니다. 

두상은 특히 마름모꼴로 광대뼈가 나와있기 쉬우며 목덜미와 뒷머리또한 두툼한 편입니다. 
흔히 두상을 말한다면 도끼머리라는 말이 있을정도로 정수리가 두툼하고 솟아 있습니다. 

그만큼 머리의 가운데가 돌출되어 나와있기 쉬우며, 
머리카락은 굵은편이나, 탈모의 위험이 큰 두피를 가진 체질이라 할수있습니다. 
귀는 크고 귀의 중앙부위 또한 울퉁불퉁하게 굽어져서 도톰한편이며 
인중은 비교적 짧은 편입니다. 

머리가운데, 정수리를 중심으로 양기가 크게 몰려있기 때문에 대머리가 될 가능성이 크며, 머리카락은 굵고 눈썹도 굵은 사람이 많습니다. 
팔과 다리에 털도 많이 자라며 간혹 하얀새치가 두두러져보이는 경우도 많습니다. 

가슴이 특히 잘 발달되어있기 때문에 근육질의 몸을 지닌 사람이 많으며,  
비만을 본다면, 다른 부위보다 상체부위가 더 민감하게 부어오르는 특징이 있습니다. 

心(심)적으로 본다면 태양인은 저돌적인 성격또한 있습니다. 
한번 자신이 결정한일은 여간해서 바꾸지 않으며, 일을 추진함에 있어서는 힘으로 밀어 붙이는 뚝심을 내타내곤 합니다. 
그만큼 고집이 다분하며, 때로는 무모함과 때로는 타인과의 타협을 이루지 않아 갈등과 대립구도를 쉽게 만들기도 합니다. 
그러나, 머리가 비상하여 일이나 사물을 관찰하는 힘이 매우 큰 사람이라 할 수 있으며 
남을 이끌며 일의 선두에 서기를 두려워하지 않습니다. 
경쟁을 무서워하지 않기 때문에 남에게 지는 것을 싫어하며 
때때로 사무적인 관계를 내세워 의도적으로 타인과 어울리지 못하는 흠을 가지고 있습니다. 

태양인은 특히 대변과 소변, 이중에서도 소변을 잘봐야 건강해지는 체질입니다. 
신진대사의 중요함은 이루 말할것이 없으나, 몸의 열을 밖으로 배주는 소변의 중요성은 매우 크다 할수있습니다. 
특히 몸에 열이 많은 체질이기 때문에 맑은 물을 많이 먹는 식성을 가지면 건강이 더욱 좋아지는 체질입니다. 

태양인에게 권하는 운동을 찾는다면, 조깅과 걷기운동이 최고일 것이며, 
아침일찍 더나는 낮은 산행으로의 등산과 테니스, 탁구, 당구등의 종목을 추천할 수 있습니다. 
운동이라 하여 특별히 몸에 좋지 않은것은 없을 것입니다. 
다만, 하체를 단련하는 편으로의 운동이 좋다는것을 말하는 것입니다. 
운동후 족욕(발 마사지)을 한다면 더욱 상쾌해지는 체질이라 할 수 있습니다. 

李濟馬 선생이 자신의 저서인 東醫壽世保元(동의수세보원)에 기록한 태양인에게 좋은 이로움이 있는 음식과 
그밖에 여러가지 음식물의 예를 듭니다. 

● 감잎차 
    감잎차는 신경을 안정화 시키며 숙면을 돕는 성질이 있습니다. 
    감잎차는 빈혈환자나 게, 세우등과 함께 먹는것을 피해야 합니다. 

● 고사리 
    고사리는 태양인과 소양인 모두에게 좋으며, 비뇨작용을 돕는 식물입니다. 
    고사리는 반드시 삶아 먹고 위가 약한 사람은 피하는게 좋습니다. 

● 굴 
    굴은 신경안정효과와 마음을 진정시키는데 좋습니다. 
    허리와 하체가 약한 태양인 이라면 더 할나위없이 좋은 음식인것입니다. 
    굴은 차가운 성질을 갖고 있으므로 여름철에는 상하기 쉽고 이때 암수의 형질이 바뀌므로 이 시기는 피하는것이 좋습니다. 

● 귤 
    귤은 식도와 위를 생하는 과일입니다. 
    옛부터 위장약으로도 많이 사용되는 과일이며 소화를 돕고 체기를 풀어주는 과일입니다. 

● 곶감 
    곶감에는 표면에 포도당성분이 응고된 시상이라는 성분이 있습니다. 
    이 성분은 남성의 정액을 만드는데 매우 도움이 되며 태양인은 물론 소양인에게도 도움이 되는 열매입니다. 
    소변의 분뇨를 도우며 요로염 및 방광염에도 좋은 식물입니다. 

● 녹두 
    녹두는 몸의 열을 식히는 작용을 하며 피부에나기쉬운 발진 종기등의 피부질환에 이로움이 있습니다. 
    녹두가 좋은 이유는 태양인의 특징인 몸안의 열기로인한 염증성 피부질환에 그 효과가 더욱 크기 때문입니다. 
    그러나 과식하거나 잉어와 함께먹는것을 피하며, 약을 복용하는 사람은 녹두를 먹지 말아야 합니다. 

● 다래 
    다래는 성질이 찬 열매이며 속이 답답할대와 잠이 오지않을때 먹으면 좋습니다. 
    위가 덥덥하고 대소변이 좋지 않을때 다래덩굴을 다려 먹는것도 매우 좋습니다. 

● 들깨 
    몸에 화기가 강한 태양인에게 기를 아래로 끌어 내리는 들깨와 들깨잎이 좋습니다. 
    또한 화기를 다스리며 위에 도움을 주어 위괘양이나 위점막을 감싸는 효능또한 뛰어납니다. 

● 모과 
    모과는 근육을 건강하게하는 과일로 경련, 타박상, 루마티스 관절염등에 효과가 있습니다. 
    피로회복에 효능이 좋아 목욕을 할대 모과를 탕에 넣어 수분을 피부에 흡수하게 하는 방법으로도 응용이 됩니다. 
    태양인에게있어 구토와 설사에 좋은 효능을 내지만, 소변이 적은 사람은 피하는게 좋습니다. 

● 메밀 
    메밀은 장의 운동을 도우며, 위를 상쾌하게 해줍니다. 
    특히 열을 잘 식히며 몸안의 노페물을 밖으로 밀어내는 매우 권장하는 음식이라 할 수 있습니다. 
    만일, 메밀을 먹고 알래르기증상이 보이는 체질은 무즙을 먹으면 해독에 좋습니다. 

● 메실 
    매실은 간기능을 좋게 도와줍니다. 
    과실을 했을 때, 담즙분비를 도와 소화제로도 민간에 넓리 알려져있는 식물입니다. 
    다만, 날로먹으면 청산중독을 일으켜 좋지 않으니 설탕에 재서 먹는 방식을 취하는게 좋습니다. 

● 붕어 
    붕어는 보양식으로 잘 알려져 있는 생선인데 정력증강과 간기능을 크게 돕는 생선입니다. 
    그러나, 특히나 열이많은 태양인 이라면 맵게한 음식, 매운탕쪽으로는 좋다 할 수 없습니다. 

● 솔잎 
    솔잎은 곱게 가루를 내어 물에타 먹으면 좋습니다. 
    솔잎에는 테레빈성분이 있어 콜레스테롤을 줄여주며 몸의 혈관을 확장하여 호르몬분비를 원활히 돕는 식물입니다. 
    솔잎을 먹을때는 그 선별법이 중요하므로 깊은 산의 맑은 새순을 모아 차로 달여먹는 것이 좋습니다. 

● 새우 
    새우는 고혈압, 동맥경화, 심장병을 예방해주는것으로 유명합니다. 
    새우에는 키틴성분이 잇는데, 이 성분이 변하여 키토산화 되면 콜레스테롤의 흡수를 막게 됩니다. 
    더구나 지방산과 타우린이 들어있어 성인병 예방에도 효능이 좋습니다. 

● 오가피 
    오가피는 근육경련과 마비증상을 다스리는 식물로 잘 알려져 있습니다. 
    오가피에는 몸에 좋은 많은 성분이 있는데 근육과 뼈를 튼튼하게 해주며 정력증가, 혈관이 좁아지는 증상에도 효과가 좋습니다. 
    단, 술에 담가 먹을때는 중독효과가 나올수 있기 때문에 과음은 금해야합니다. 

● 포도 
    포도는 이뇨작용이 좋아 부기를 빼주며 구토를 멈추게 해줍니다. 
    포도 뿐 아니라 농약을 주지않은 잎을 깻잎처럼 재서 먹는것도 좋은 방편이라 할 수 있습니다. 
    뿌리를 달여 먹는것도 구토를 멈추게하며 신경통과 관절염에 좋은 또다른 건강요법입니다. 

● 콩 
    콩중에서도 검은 콩은 흰머리를 검게하는 효능으로 민간에 넓리 알려져 있는데, 
    이보다는 남성의 정력을 강화시키며 모유가 나와야 하는 산모에게 특히 좋은 식물입니다. 
    검은 콩을 다려 먹으면 체내 독소가 바지며 간장을 보호하는 효과도 있습니다. 

",2
"太陰人(태음인)","태음인은 혈압이 높기 쉬운 체질이며, 특히 대변을 잘봐야 건강해지는 체질입니다. 

태음인은 태양인과 흡사한 건장한 체형이라 할수있습니다. 
차이가 있다면, 체격에 비해 두상이 작으며 가슴또한 빈약해 보인다 할 수 있습니다. 
멀리서 본다면 야윈체형으로 보이기 쉬우며, 
때때로 비만해진다면 복부와 엉덩이 중심으로 살집이 올라와 두리뭉실하게 보이기도 합니다. 
크게 상체가 발달된 것이 아니기 때문에 역삼각형의 체형도 아닌 타원형과같은 통자의 몸을 지닌 듯이 보입니다.  

비만해질 경우가 아니라면 대체로 마른듯 보이나, 복부와 엉덩이, 허벅지 중심으로 살이찌기 쉬운 체질이라 할 수 있습니다. 

가슴보다는 복부부위가 발달되어 있기 쉽기 때문에 가슴이 작아보이는 것이며, 
복부와 목덜미가 굵은 편이라 상대적으로 두상이 작아보인다는게 맞는 표현이라 할 수 있습니다. 

두상은 둥근편이며 코와 입술, 눈섭 귓볼은 두툼한 편입니다. 
머리카락은 굵은 듯하며 입다는 결이 고운 특징이 있습니다. 
눈썹이 짙은 사람이 많으며 눕썹사이에 살집이 두툼한 편입니다. 
얼굴에 수염이 많다고 할수는 없으나, 간혹 가슴에 털이 짙은 사람이 많습니다. 
태음인의 특징이라면, 복부와 허리 엉덩이가 크게 굴곡이 없으며 일자로 마른듯한 체형이라 할수있습니다. 

골격이 장대해 보이는것과 같이 손과 발은 큰직하니 큰 편이며 태양인에비해 피부가 부드러운 특징도 보이곤 합니다. 
걸음걸이를 본다면 천천히 중심이 잘 잡혀있는 안정적인 걸음자세를 걷는 그런 느낌의 체형이라 할수있습니다. 

心(심)적으로 본다면 태음인은 사교성이 매우 좋은 타입입니다. 
융통성이 많으며 때때로 묵뚝뚝해 보여도, 말수가 적어보여도 그 내면에는 근면함이 이 사람을 지탱하고 있다고 할 수 있습니다.  
사람과의 교우와 인간관계에 충실하며 때로는 타인과의 교류가 넘쳐나 
모임과 같은 장소에서 감초와 같은 분위기 메이커의 역활을 톡톡히 하곤합니다. 
간간히 오락과 유희에 집착하여 자신을 절제하지 못하는 성향을 띄기도 하는 단점이 있습니다. 

태음인의 또다른 특징이라면 O형 혈액형이 많다 할수 있습니다. 
그만큼 한국인의 대표체질이라 할수있을만치 많은 분포를 가지는 형질이 태음인인것입니다. 

태음인에게 좋은 운동을 말한다면, 
심폐기능을 원활히 할 수 있는 운동 즉, 수영과 같은 운동이 좋다 할것입니다. 
호흡을 할 경우에도 가급적 가볍게 복식호흡을 하는 것이 좋으며, 
요가와 같이 운동과 호흡을 병행하는 동작을 취하는것이 더욱 좋다 할수 있습니다. 


李濟馬 선생이 자신의 저서인 東醫壽世保元(동의수세보원)에 기록한 태음인에게 좋은 이로움이 있는 음식과 
그밖에 여러가지 음식물의 예를 듭니다. 

● 갈치 
    갈치는 열이많은 체질보다는 열이 없는 체질에 더 좋은 생선입니다. 
    껍질부위에 콜라겐과 엘라스틴성분이 많아 피부에도 좋은 것으로 알려진 생선입니다. 
    식욕이 떨어진 사람에게는 입맛을 돋구며 생리불순에도 효과가 잇는것으로 알려져 있습니다. 

● 고구마 
    고구마에는 섬유질이 가득하고 세라핀이라는 성분이 있어 변비로 고생하는 사람에게 쾌변의 시원함을 주는 식물로 유명합니다. 
    또한, 세라핀성분은 특히 껍질에 많기 때문에 잘 씻어서 껍질까지 먹는것이 효과를 더욱 높이는 방법입니다. 
    다만, 전분성분이 강해 당뇨가 있는 사람은 피하는것이 좋습니다. 

● 김 
    김은 콜레스테롤을 몸밖으로 내보내 혈압을 떨어뜨리며 동맥경화에도 좋은 식품입니다. 
    또한 입맛이 덜어진 사람에게 식욕을 증진시키며 가래를 삭히는 효능까지 있습니다. 

● 다시마 
    다시마는 특히 변비로 고생하는 사람에게 매우 좋습니다. 
    칼슘이 많아 뼈를 튼튼히 하며, 영양식으로도 매우 좋으며 고혈압, 동맥경화, 심장병예방에도 좋은 식품입니다. 
    다시마는 몸에 열이많은 태양인이나, 소음인에게도 좋은 식품입니다. 
    신진대사를 원활히 하는 식품이지만, 결핵을 앓고있는 환자는 피해야 합니다. 

● 당근 
    당근은 감기예방, 천식, 위궤양, 식욕부진에 두루 좋은 효과를 내는 식물입니다. 
    식이섬유가 풍부해 장기능을 원활히 하는 효과까지 있는 식물입니다. 

● 더덕 
    더덕은 폐의 기능을 강화시키며 가래를 삭히는 작용을 합니다. 
    더덕에는 삼에있는 사포닌성분이 함유되어 있어 위를 튼튼히 하며 정력에 도움을 주는 식물로 잘 알려져 있습니다. 
    여성들의 월경불순에도 효과가 있는 식물입니다. 
    더덕에도 노두 라고하는 꼭지부위가 있는데, 이 부위는 독성이 강해 띄어내고 먹어야 합니다. 

● 도라지 
    도라지는 천식과 기관지염에 특히 효능이 좋은 식물입니다. 
    가래가 있거나, 담배로인한 페질환이 있다면, 더없이 좋은 효과를 나타냅니다. 
    도라지는 성분이 강하기 때문에 많이 먹으면 구토를 일으킬 수 도 있습니다. 

● 두부 
    두부는 단백질이 높고 콜레스테롤을 저하시키는 리놀레산이 있어 성인병예방 및 비만예방에 좋은 음식입니다. 
    소화를 촉진시키며 장운동을 돕는 음식으로서 저칼로리 식품이라 할수있습니다. 
    두부를 먹고 체했다면 무즙을 먹으면 좋습니다. 

● 땅콩 
    땅콩속에는 레시틴이라는 성분이 있어 간장기능을 좋게하며 혈액순환을 돕는 식물입니다. 
    땅콩은 기억력을 증진시키는 식물로도 유명하며 콜레스테롤을 줄이는 기능이 있습니다. 

● 미역 
    미역은 열이많은 태양인이나, 소양인에게도 매우 좋은 식품입니다. 
    풍을 예방하며 골다공증, 변비에 더없이 좋으며, 혈액이 뭉쳐 순환이 안될때 이를 풀어주는 식품으로 잘 알려져 있습니다. 
    산후 자궁수축, 지혈작용이 좋으며, 보양식으로도 매우 좋은 식품입니다. 

● 밀 
    밀가루로 된 국수는 소화가 쉽고 대소변을 원활히 하는 음식입니다. 
    밀에는 글루텐이라는 성분이 있으며 이 성질이 글루타민산으로 몸에 들어와 머리를 맑게해줍니다. 
    빌을 먹을대는 가급적 껍질을 덜 정미한 통밀을 먹는게 보다 좋습니다. 

● 밤 
    밤은 폐기능을 좋게하며 몸을 따뜻하게 만들어 줍니다. 
    밤은 특히 신장보호, 근육강화에도 좋은 영양식품입니다. 
    밤은 불려 채로 갈은뒤 죽으로 써서 먹으면 노인들의 건강식으로도 매우 좋습니다. 

● 배 
    배는 소화효과가 뛰어나며 기침, 가래에도 좋습니다. 
    변비에도 그 효과가 뛰어나며, 이뇨작용을 쉽게 해 줍니다. 
    다만, 예로부터 임산부에게는 크게 권하지 않던 과일입니다. 

● 오디 
    오디는 뽕나무의 열매로 정력제와 눈의 피로개선에 그 효능이 좋은것으로 잘 알려진 열매입니다. 
    기억력을 좋게하며 혈색을 좋게하기때문에 수험생이나, 여자들에게 특히 선호되는 식물입니다. 
    늦여름에 초가을에 먹는 오디가 더욱 영양이 높고 좋습니다. 

● 오미자 
    오미자는 다양한 맛이 한데 어우러져있는 것으로 유명한데 기침, 가래, 천식을 가라앉히며, 
    몸에 기력을 주어 피곤함을 떨쳐주는 열매입니다. 
    봄철의 춘곤증을 사라지게 하며, 기운을 복돋워주기때문에 봄과 여름에 더욱 효과가 좋은 식물입니다. 

● 연근 
    연근은 신장기능을 강화시키며 소변이 잘 나오게 돕습니다. 
    열을 내리게 하며 여름철 갈증이 심할때 먹으면 좋은 음식입니다. 

● 율무 
    율무는 태음인에게 매우 좋은 식물입니다. 
    몸의 노폐물을 빼주며 어린아이들과 여성들에게 더욱 좋은 음식입니다. 
    율무는 비장을 튼튼히 해주며 위와 폐의 기능을 좋게 만들며 몸의 열을 식히는 음식입니다. 

● 잉어 
    잉어는 혈액순환을 도우며 천식이나, 기침감기가 있을때에도 좋은 음식입니다. 
    영양가가 높아 산후 몸조리용으로도 좋으며 혈압이 높은 사람에게도 잘 맞는 음식입니다. 
    잉어는 정자를 생성하며 원기를 불어넣는 기능이 좋아 보신용으로 널리알려진 생선입니다. 
",3
"少陽人(소양인)","소양인은 눈이 보이는 가시적인 체격이 태양인에 비해 작다할 수 있으나, 
태양인과 비슷하게 상체가 하체보다 발달되어있는 체격입니다. 
머리와 가슴이 발달되어 있으며, 허리아래 엉덩이와 다리가 외소하게 보이는 것이 특징입니다. 

마치 태양인의 축소판이라 할 수 있으나, 뼈와 뻐사이의 연골이 약한 체질이며 가슴과 유방이 크게 잘 발달되어 있습니다. 
발목과 손목이 가늘지만, 어깨부위나 엉덩이는 의외로 살이 붙어있는 경우가 많습니다. 

소양인또한 태양인과 같이 몸에 화기가 강하기 때문에 고요한 평상심을 키워 마음을 다스릴 수 있게 힘을 기울여야 합니다.

감정의 기복이 클 수 있기 때문에 감성적 희비가 교차하기 쉬운 체질이며 
신장과 심장, 더 나아가서는 신경계쪽인 척추와 목의 손상또한 주의해야 하는 체질입니다. 

소양인의 체질을 판단하는 기준이라 할 수 있을정도로 가슴은 크며 잘 발달되어 있는것이 특징입니다. 
그렇기 때문에 태양인과 같이 흉부에 비해 하체가 약하다고 말할수 있는 것입니다. 

소양인이 살이 찐다면, 엉덩이와 골반부위, 허벅지 안쪽까지 비만해지기 쉽습니다. 
그러니, 체격에서오는 걸음걸이를 살핀다면 집오리와 같이 엉덩이를 흔드는 걸음걸이로 나오기가 쉬운것입니다. 
소양인은 손발이 작다 할수있지만, 
반면에 따듯한 손발을 가지며 예쁘고 가는 손마디를 가지는것 또한 특징입니다. 

두상은 둥굴면서도 역삼각형에 가깝습니다. 
눈섭은 곱고 눈이 동그랗기 쉬워 동안의 모습이 많다 할 수 있습니다. 
입술이 얇고 작으며 콧대가 있으며 얼굴전체의 윤곽이 선명합니다. 

心(심)적으로 본다면 소양인은 성격이 무난하고 곱지만, 때때로 충동적이며, 자신의 일에 열정을 가지고 있습니다. 
두뇌회전이 빨라 재치가 있으며 손재주가 뛰어나 예술을 다루는 일을 종종하기도 합니다. 
그만큼 섬세함이 긷들어있는 체형인 것입니다. 

두상을 본다면 머리숱이 많으며 한국인에서 찾는다면 조금은 곱슬머리가 많은것도 특징입니다. 
머리결은 까맣고 곱게 윤기가 흐르는 사람이 많습니다. 

소양인에게 권하는 운동은 태양인과 같은 걷기와 조깅이라 할 수 있습니다. 
온몸을 움직이는 체조와 애어로빅, 스포츠댄스도 권할 수 있으며, 싸이클을 타는것도 매우 좋은 운동이라 할 수 있습니다. 
가능하다면, 팔다리의 약한 골격과 마디를 단련하는 운동을 찾는것이 좋으며 
어린 아이에게는 태권도와 같은 온몸을 움직이게하는 운동을 시키는것도 매우 좋다고 할 수 있습니다. 

李濟馬 선생이 자신의 저서인 東醫壽世保元(동의수세보원)에 기록한 소양인에게 좋은 이로움이 있는 음식과 
그밖에 여러가지 음식물의 예를 듭니다. 

● 가지 
    가지는 고혈압을 완하시켜주는 작용을 하는 식물로 유명합니다. 
    동맥경화증상이나, 순환기쪽으로의 예방에도 좋으며 그 성질이 차기때문에 열이많은 태양인이나 소양인에게도 매우 좋습니다. 
    가지는 햇볕을 잘 밭은 진한 자주색의 가지가 더욱 좋습니다. 

● 결명자 
    결명자는 눈의 피로를 풀어주며 충혈에 좋고 눈을 맑게해주는 식물입니다. 
    이뇨작용이 좋으며 장운동에도 도움을 주기 때문에 변비에도 좋은 효능이 있습니다. 
    특히 소양인과 태음인에게 좋은 음식으로 한방에서 권하는 식품이며 복부비만, 하체비만에도 좋은 효과가 있습니다. 

● 구기자 
    구기자는 다리와 허리를 보호해주며 감기 기침을 멎게하는 효능이 잇습니다. 
    시력감퇴에도 효과가 좋은 식물이며 마음을 차분히 가라앉히는 신경안정제로도 쓰입니다. 
    
● 녹두 
    녹두는 해열작용이 좋은 식물입니다. 
    더위를 먹었을때나 갈증이 심할경우 녹두가 좋으며 당뇨병으로 고생하는 사람에게 권하는 음식입니다. 
    특히 입냄새가 심한경우 녹두를 먹으면 악취제거 효과가 매우 좋습니다. 

● 미나리 
    미나리는 이뇨작용과 해독작용이 뛰어나기 때문에 숙취해소에도 좋은 효과가 있는 식물입니다. 
    독성을 제거해서 몸밖으로 빼주는 기능이 매우 좋아 약물중독이나, 식중독, 또는 체했을때도 좋은 건강음식입니다. 
    미나리는 소화기능이 약할때나, 몸이 찬 사람은 가급적 소량을 섭취하거나 먹지 않는것이 좋습니다. 

● 보리 
    보리는 해열작용이 뛰어나며 이뇨작용, 소염작용이 좋아 방광염에도 좋은 음식입니다. 
    열이많이 나는 체질에 더욱 좋으며 갈증해소에도 좋은 음식입니다. 피가 맑아지기때문에 피부가 고아지는 효과도 있습니다. 
    다만, 몸이 차거나 설사를 하는경우는 먹지 않는것이 좋습니다. 

● 상추 
    상추는 신경안정을 도우며 소화를 도와 육식섭취를 많이 하는 사람에게 보다 좋습니다. 
    피를 맑게하는 정혈작용을 하며 몸안의 유해독소를 밖으로 빼내는 역활을 하는 식물입니다. 
    상추는 숙취해소에 좋으며, 변비에도 좋습니다. 
    피로하고 화기가 쎄어 마음을 안정하지 못할때, 불면증으로 고생할때 상추를 먹으면 좋습니다. 

● 산수유 
    산수유는 간장과 신장기능의 개선을 돕는 식물입니다. 
    또한 귀에서 소리가 들리는 이명현상에도 그 효과가 매우 좋은식물입니다. 

● 산딸기 
    산딸기는 강장제로 더할나위없이 좋으며, 약화된 성욕을 크게 키울수있는 효과가 있습니다. 
    산딸기는 복분자라고 불리기도 합니다. 
    피로를 느끼기 쉬운 갱년기에 접어들은 사람에게 매우 좋은 식물입니다. 

● 수박 
    수박은 특히 대소변을 잘봐야하는 태양인과 소양인에게 더없이 좋은 여름과일입니다. 
    수박에는 시트롤린이라는 성분이 있어 체내독소를 제거해주며 열이많은 체질의 열기와 화기를 식혀주는 음식입니다. 
    간혹, 수박의 씨를 으께서 먹는 사람이 있는데, 수박씨는 협압을 낮추고 화기를 진정시키며 통증을 완하시키는 작용을 합니다. 
    단, 소화기장애로인해 설사가 자주나는 사람은 수박을 피해야하며, 평소 물을 잘 먹지않는 체질은 과식을 금해야합니다. 

● 전복 
    전복은 영양성분이 매우 높아 몸이 약하거나, 기가 약할때 자양강장음식으로 많이 쓰이는 음식입니다. 
    몸의 피로를 풀어주며, 시력감퇴등으로 눈에 영양을 줄때 특히 전복이 좋습니다. 
    눈의 피로, 입안이 마르고 헐때, 신경안정을 요할때 특히 좋은 음식이며 소리가 울리는 이명현상에도 좋은 효가가 있습니다. 
    몸이 차거나 설사가 잦으면 전복을 피하는게 좋습니다. 

● 질경이 
    질경이는 흔히 약재로만 쓰인다 생각할 수 있으나, 풍독이나 어지러움증, 몸안의 기생충을 없에는 효능을 지니고 있습니다. 
    차로해서 연하게 물마시듯 한다면, 요통이나, 설사 등에도 좋으며, 눈을 맑게 도와주기도 합니다. 

● 엿기름 
    엿기름은 간염을 치료하는데 효과가 탁월합니다. 
    흔히 식혜를 만들때 엿기름을 많이 쓰기때문에 소화제로도 그 활용범위가 큰 식품입니다. 

● 우엉 
    신장이 약한 사람에게 우엉은 매우 좋습니다. 
    혓바늘이 돋거나, 입안에서 악취가 난다면 필히 우엉을 먹는게 상책일정도로 효과가 좋습니다. 
    소화를 돕고 특히 대변을 원활히 돕는 기능이 있습니다. 

● 오이 
    오이는 이뇨작용이 매우 우수합니다. 
    입안의 타액과 위액을 생성하며 몸안의 노폐물을 잘 빼주는 역활을 합니다. 

● 죽순 
    죽순을 몸의 열을 내리며 장운동을 활발히해주는 효과가 탁월합니다. 
    해열제로서 탁월함을 보이는가 하면 순환기계통에도 좋아 얼굴의 화색을 좋게 만드는 장점이 있습니다. 
    죽순외에 잎사귀는 열감기에 좋으며, 껍질은 놀란가슴을 안정시키는데 좋으며, 
    대나무열매는 몸안에 생기는 적취라 일컫는 종양제거에도 탁월함이 있습니다. 

● 팥 
    팥은 신장병과 방광염을 치료하는데 도움이 큰 식물입니다. 
