idx,basic,txt,mf
1,"A","A형 남성은 모든 일에 신중하게 생각하고 매사에 적극적입니다.
책임감이 강하고 완벽을 추구하는 경향이 강합니다.
시작한 일은 반드시 해결하는 타입이지만, 불의를 보면 참지 못하는 성격이라 대인관계가 원만하지 못하다는 단점을 보일 때도 있습니다.
이따금 한가지 일에만 몰두하기 쉽습니다. 
그러나 한번 일을 한다면 그 사람이 맡은 일만큼은 예민하게, 섬세하게, 그리고 관찰력과 창조력이 있게 처리하여 모든 사람의 칭찬을 받는 대단한 능력의 소유자입니다.
한번 마음먹은 일은 꼭 이룰려는 강한 의지가 있는 사람입니다.
이성 문제에 있어서는 내성적인 성격으로 상대방인 여성에게 쉽게 자신의 마음을 드러내지 않으며 여성이 적극적으로 나오면 도리어 뒤로 물러서기도 합니다.
상대방과의 사랑에 불타오르는 것이 늦은 편이지만 한번 불이 붙으면 오랬동안 지속됩니다.
또한, 두 여성을 똑같이 사랑 하는 일은 있을 수 없다고 생각하여 결코 바람둥이가 될 수 없는 타입입니다.
맹목적인 사랑을 하는 순수한 마음이 있습니다.","m"
2,"B","B형 남성은 일단 고집이 세고 굽히지 않는 의지가 있습니다.
또한 밝은 성격의 소유자입니다.
창의력이 있어 신선한 생각을 많이 합니다. 
B형남자는 한번 마음을 먹으면 단번에 앞으로 돌진하는데, 이러한 성향은 매우 믿음직하나 독단적이며, 이기적으로보여 주위사람들의 반감을 사는 경우도 있습니다.
여성보다 섬세하고 순수한 일면도 갖고 있어, 이따금 깊은 고독감에 빠지기도 하나, 자기 스스로 기분전환을 하며, 다시 평상심을 찾아 곧바로 원래대로 돌아옵니다.
이성과의 연애에 있어서는 일관성이 부족해서 자신의 주위에 있는 여성의 각각의 좋은 점을 이해하지 않고, 그때의 기분에 따라 여성을 금방 바뀌어 버리기도 합니다.
그러므로 B형 남성은 바람기가 많고 여성에게 깊은 사랑을 주지못해 상대방으로부터  야무지지 못하다고 오해받기 십상입니다.
일상의 평범한 연애보다 드라마틱한 연애를 바라는 편이라 사랑에 빠지면 순정 드라마의 주인공이 된 것처럼 행동하기도 합니다.
그러나, 개성이 멋진 남자입니다.","m"
3,"O","O형 남성은 어디에서든 어느때이든, 자신만만한 성격의 남자입니다.
자신이 마음먹은 목적을 향해 강렬한 정열을 태우는 타입으로, 마음이 곧고 정신적으로 강인하며 주위 사람에게 의지하지 않는 편입니다.
일에 있어서도 자신만만하여 끝까지 최선을 다하지만 , 타인의 능력을 믿지 않는 경향이 있습니다.
다른사람이나, 그 무엇이든지간에도 지는 것을 무엇보다도 싫어하여 라이벌이 없는 싸움에서도 언제나 최선을 다합니다.
승부욕도 강한 성격입니다.
그러나 단번에 정상을 오르기도 하지만 단번에 실폐의 수렁에 빠져버리는 경우도 있습니다.
사랑은 늘 한결같은 사랑을 지향합니다.
또한 사랑에 빠지면 그 사랑에 목숨을 거는 타입 입니다.
하지만 마음속에 간직한 말이 서툴러 여성을 매료시키거나 상대를 치켜세우는 등의 말을 하기가 어렵습니다.
지속적으로 본심을 말하고 그때그때의 본능이 이끄는 대로 행동하기도 합니다.","m"
4,"AB","AB형 남성은 이따금 어려운 상황에 잘 대처하는 타입입니다.
다방면에 재주가 많고 실수 없이 일을 해내는 합리적이고 이성적인, 또한 감성적인 기질도 있는 이상주의자 이기도 합니다.
순진한 면도 많고 자신을 보호하는 방어 본능이 강해서 상대방에게 자신을 잘 내보이지 않는 사람입니다.
생각에있어 논리적인 사고를 지닌 인간형이라 일 처리가 공정하며 짜임새가 있고, 넓은 시야를 가지고 많은 사람과 일을 하는데 있어서도 자신감이 넘쳐흐르는 사람입니다.
이성과의 연애에 있어서도 언제나 현실감이 있는 남성이지만 사랑을 하면 그 사랑의 한가운데에 빠져 서 주변의 사람을 놀라게 하기도 합니다.
이성에게만은 깜찍한 면도 가끔보이는 애교도 있습니다.
이따금 화가나면 말을 하지 않고 표현을 하지않아 상대방과 친해지기 어려운 타입입니다.
AB형 남성의 단점은 연애의 기회를 좀처럼 잡기가 어렵다는데 있습니다.","m"
5,"A","A형 여성은 몸과 마음이 청결하고 조신한 생활 태도를 추구하는 편입니다.
감정의 자제가 안되어 상대방에게 그대로 드러내는 경향이 있습니다.
자존심이 강한 여성으로 보이기가 쉽지만, 눈치 빠르게 상황 판단을 잘하고 적당한 애교와 상냥함을 지니고 있으며 잘 토라지기도 하는 등 여성적인 매력이 넘칩니다.
예민하고 신중하면서도 사교적이고 임기응변이 뛰어난 여성이지만, 완벽함을 추구하는 경향이 있어서 남이 무시를 하거나 비난을 하면 참지못합니다.
남과 다투고 난 뒤에 먼저 사과를 하지 않는 경향이 있습니다.
연애에 있어서는 빨리 뜨거워졌다 빨리 식어버리는 타입이지만, 한번 마음에 든 남성과는 자주 다투는 일이 있더라도 항상 정성을 쏟는 편입니다.
진지하게 사랑을 하는 타입이므로 그 만큼 실연의 아픔도 큽니다.","f"
6,"B","B형 여성은 상황과 기분에 따라 마음이 변하는 기분파입니다.
사람들 속에서는 인정이 매우 많고 유머와 위트가 있으며 화제가 풍부하여 상대방 이성으로부터 인기를 독 차지하는 타입입니다.
늘 밝고 매력을 발산하는 묘한 분위기의 소유자입니다.
추진하는 일에 대해서는 자신이 좋아하는 일은 적극적으로, 헌신적으로 몰두하지만 자신이 싫어하는 일은 절대로 하려고 하지 않는 분명한타입입니다.
남이 자신을 속박하거나 지나치게 간섭하는 것을 참지 못하는 특징이 강한 여성입니다.
이성과의 사랑에 있어서는 자신이 갖고있는 사랑하는 감정을 표현하지 않아서, 모범생 같은 사람보다 박력이 있고 야성미 넘치며, 개성이 강한 남성을 좋아합니다.
연애는 불같은 스타일로 타오르는 듯한 정열적인 연애를 좋아합니다.
한번 사랑에 빠지면 불처럼 확 달아오르고 주변의 일이나, 사람들의 시선등에는 일체 신경을 쓰지 않고 사랑의 불에 자신을 태우려는 타입입니다.","f"
7,"O","O형 여성은 꿈과 이상을 추구하는 멋진 낭만주의자입니다.
따스한 마음과 따뜻한 성품으로 사물에 대한 깊은 애정을 갖고 있으며, 특히 감수성이 예민한 사람이 많은 편입니다.
또한, 자신이 이루려하는 욕구 성취에 적극적이어서 형식에 얽매이지 않고 자유롭게, 단번에 추진해서 달려가는 타입입니다.
친한 사람과는 수다가 심하고 순간적인 충동을 참지 못하고 바로 감정을 표현하여 폭발하기도 합니다.
모든 것에 있어서 매사에 혼자 독점하고자 하는 욕구가 강합니다.
그러나, 대부분 머리가 좋으며 자신이 잘못한 점이 있다면 쉽게 인정을 하고, 스스로 고치려는 경향이 있습니다.
이성과의 연애에 있어서 O형 여성은 좋아하는 남성에 대한 독점욕이 남보다 강합니다.
좋아하는 남성이 다른 여성을 만나면 질투를 많이 합니다.
하지만 좋아하는 사람에겐 매우 헌신적인 타입입니다.","f"
8,"AB","AB형 여성은 재능과 기질이 아주 많아 주위의 사랑을 한 가득 많이 받는 타입입니다.
분위기가 있어 상대방 남성에게는 매우 신비롭게 보이고, 동성에게는 사랑스러운 오누이처럼 보입니다.
소극적이지만 억지를 부리는 면이 있어서 상대방과의 마음을 털어놓는데 시간이 걸리는 편입니다.
착하고 상냥한 성격으로 봉사 정신이 강해서 주위로부터 알게 모르게 존경받고 있습니다.
매사에 일에 대해서도 할일, 안 할일을 잘 파악하고 타고난 계획력으로, 능률적이게 일을 끝까지 해내서 주위의 칭찬과 선망을 많이 받는 스타일입니다.
연애에 있어서는 동화속 백마 탄 왕자를 기다리는 공주타입입니다.
멎진 남성으로 돈과 지위, 명예를 모두 갖추고 있으며, 외모적으로도 핸섬한 이미지의 상대를 좋아하는 타입입니다.
좋아하는 사람과의 연애가 이루어지기까지는 오랜 세월이 걸리는 편이고, 자신을 표현하는데 서툴러서 본심을 남성 분에게 전하지 못하여 오해가생길 수도 있습니다.
그로인해 사랑의 마음이 잘못 전달되 실연을 당하는 경우도 많습니다.","f"
9,"AA","A형 남자와 A형 여자의 연애호감 지수는 100중에 73점입니다.
두사람의 사랑에 있어서 같은 A형과의 만남이 지루할수도있지만, 상당히 안정적인 애정관계를 유지할 수 있습니다.
하루에도 몇번씩 서로다른 감정이 많으나 서로를 충분히 이해하고 있기때문에, 인생을 살아가는데 있어서 서로 존경과 사랑을 같이 키우게 됩니다.
다만 서로의 일에 적극적이라 너무 꼬치꼬치 캐는 성향때문에 이따금 불평이 나올수도 있습니다.
A형 여자는 상대 이성에게 한번 마음을 허락하면 변치않는 애정을 간직하는 현모양처 타입입니다.
처음의 만남이 어려울수도있는 이유는 서로가 상대를 너무 탐색하는 성향이 강하기 때문입니다.
사랑의 진행은 처음에는 남성이 여성을 이끌고 리드하지만 둘의 만남이 계속되면 여성이 남성을 이끌어주고 리드 하게 됩니다.
결혼후 섹스에 있어서 서로의 감각이 무딘 편이라 섹스 궁합은 낮은 편이나 서로 마음이 맞아 자주 관계를 하는 사이가 될 것 입니다.
결혼은 2-3년 정도 교제의 시간이 필요합니다. 분쟁없이 사랑이 계속되면 무난하게 결혼을 할 수 있습니다.
처음만나 커플이 되어서는 남성분과 여성분은 서로가 공통적인 닮음이 많기때문에 별 무리 없이 서로의 기분과 감정을 이해할 수 있습니다.
그러나 애인이 아닌 친구관계로 끝날 수도 있습니다.
연애가 깊어지면 남성과 여성은 닮은 꼴이기 때문에 특별히 싸우지는 않습니다.
그러나 일단 싸우면 두 분다 사과를 하지 않기 때문에 관계가 악화되어 헤어 질 수도 있습니다.
프로포즈를 하기에는 남성과 여성 두 분다 신중파이기 때문에 결혼을 하려면 시간이 걸립니다.
서두르지 말고 때가 오기를 기다리도록 합시다.","mf"
10,"AB","A형 남자와 B형 여자의 연애호감 지수는 100 중에 81 입니다.
남성인 A형의 이상적인 결혼상대는 성격이 반대인 B형 여성입니다.
B형 여성은 기분파이어서 부담감이 없어서 마음에 들것이며 A형 남성도 상대여성분에게 다정하게 대하게 될 것입니다.
그러나 B형여성이 다른 남성에게도 상냥하게 대하거나 고집을 세우면, 서로 불만이 생기게 될 것이고 헤어지기도 쉽게 됩니다.
연애에있어 첫 만남은 남성분이 주도하나 사랑에 있어서만큼은 B형 여성이 둘의 사랑을 이끌어 갈 것 입니다.
결혼후 섹스는 A형 남성이 적극적으로 들이되지만, 그로인해 처음은 B형 여성이 거절할 수도 있습니다.
그러나 어느정도 시간이 흘러 여성분이 섹스를 알게되면 서로 부담없이 즐기려고 합니다.
결혼은 남성분이 여성분의 성격과 가치관의 차이를 이해한다면 많은 부분에있어 이루어질 가능성이 높게됩니다.
처음 커플이 되어서는 여성의 싹싹한 성격이 남성분의 마음을 사로잡게 됩니다.
이따금 연애가 깊어지면서, 여성의 자기 중심적인 태도 등 사소한 문제로 남성에게 아주 거슬리는 경우 가있어 헤어지게되는 위기도 찾아옵니다.
여성분은 자기 생각만 하지 말고 상대 남성분을 생각하는 마음을 갖게 되면 더욱 좋은 환상의 커플이 될 것입니다.
한가지 더, 남성분이  프로포즈를 할때, 기분파인 여성이 망설이어서 결혼에 이르기가 어려운 경우도 있습니다.","mf"
11,"AAB","A형 남자와 AB형 여자의 연애호감 지수는 100 중에 77 입니다.
남성분은 여성분이 협력하는 일이 많아 별로 냉냉함없이 이성을 좋아하게 될 것입니다.
한편으로는 친절하고, 때로는 애교있고 상냥하며, 때로는 남성분에게 어린아이처럼 응석을 부리기도 하는 여성을 좋아하므로 지금 교재중인 이 여성의 진정한 매력을 찾지 못하는 경우도 있습니다.
하지만 이따금 여성분이 말이 많고 직설적이어서 남성분과 잦은 충돌이 생길 수도 있고 헤어짐이 있을 수도 있습니다.
사랑에 있어서 두 분은 만나자 마자 아주쉽게 친해질 가능성이 높습니다.
여성분이 배짱으로 적극적인 대쉬를하면 소심한 성격의 남성분이라도 마음의 문을 열어주기 때문입니다.
첫 만남은 서로의 의견이 따로 대립하여 합일점을 찾지 못하여 연애의 진전이 늦어집니다.
결혼후 섹스는 두 분이 담백하고 봉건적인 사고가 없어서 즐긴다고 볼 수 있습니다.
처음 커플이 되어서는 여성분의 담백한 성격이 남성분에게 분명히 호감을 줍니다.
그러나 점차 변덕이 심하여 남성 분에게 불신감을 안겨줄 수 있으므로 각별히 조심해야합니다.
연애를 하다보면 나중에 두 분은 싸움도 하지 않는 사이좋은 커플로 즐겁고 행복에 넘치게 될 것입니다.
남성분이 청혼을 할때 여성분은 비평을 좋아하기 때문에 남성분에게 실언을 하여 결혼의 관문에 가기 힘들지만, 시간이 충분하다면 남성분의 프로포즈도 자연스럽게 이뤄질겁니다.","mf"
12,"AO","A형 남자와 O형 여자의 연애호감 지수는 100 중에 95 입니다.
남성분의 밝고 명랑한 성격이 O형 여성분에게 매력적으로 잘 어울려 보입니다.
하지만, 지나치게 강인한 여성분 때문에 감당하기 힘든 경우도 간혹 나옵니다.
여성분이 남성분을 충분히 이해해 남성을 존중하는 관계가 되어야 무난한 관계를 유지할 수 있는데, 그렇지 않다면 성격차이로 잦은 말 다툼을 하게 될 것입니다.
이 둘의 사랑에 있어서도 여성분이 활달한 여장부처럼 보이지만 실제로는 외로움을 많이 타기도 합나다.
또한 남성분의 합리적 이고 진실된 모습에 반하여 여성분이 믿고 의지한다고 볼 수도 있습니다.
처음부터 서로가 좋은 인상이고 자연스럽게 만나지만 남성분이 여성분을 리드해가며 커플이 될 것입니다.
결혼후 섹스는 여성분이 섹스에 대해 더 적극적이어서 남성분을 당황하게 하는 경우도 있습니다. 
또한 두 분의 관계역시 안정된 관계라 결혼에 골인하는 경우가 많이 있습니다.
처음 연애커플이 되어서는 목적을 향해 저돌적인 여성분의 성격이 신중한 남성분을 깜짝놀라게 하는 경우가 있습니다.
그러나 나중에는 여성분이 단순한 성격으로 남성분을 사랑과 애정으로 이끌어 갑니다.
간혹, 남성분의 충고를 여성분이 거절하면 싸움이 되고 헤어짐을 맛 볼 수 있습니다.
결혼을 앞에두고 남성분이 즉시 결혼하고 싶어하지만 여성분이 확실하게 대답하지 않는 경우가 많습니다.","mf"
