idx,basic,txt,mf
13,"BA","B형 남자와 A형 여자의 연애호감 지수는 100중에 61 입니다.
완전히 상반되는 성격의 두 분이 만났지만 A형 여자는 B형 남자를 그대로 믿는 편입니다.
이따금 남성분은 자신의 일에 열성적으로 몰두하게 됩니다.
그로인해 여성분을 배려하지 않아 애타게 하는 경우가 있습니다.
두 사람의 처음 만남은 남성분이 적극적이고, 여성분은 수동적입니다.
당연히 남성분이 리드해 나갑니다.
결혼후 섹스는 남성분의 요구가 강해 처음부터 적극적으로 여성분이 응하지 않아 트러블이 생길 수 있습니다.
결혼에 성공할 확률은 서로의 결점에 진력이 나서 가능성은 낮습니다.
이 두사람이 처음 커플이 되서는 서로를 이해하는 부분이 많아 서로에게 강한 매력을 느낍니다.
연애를 오래할수록 나중에 여성분이 대조적인 성격을 가진 다른 남성분에게 신선감을 느끼게 되기도합니다.
B형남성과 A형 여성은 성격 차이가 원인이 되어 싸움이 많을 수 있으니 여유를 가지고 사귀는 것이 필요 합니다.
프로포즈는 여성분이 확실하게 결론을 내고 싶은데 우유부단한 남성분에게 화가 많이나 오히려 결혼이 멀어질 수 있습니다.","mf"
14,"BB","B형 남자와 B형 여자의 연애호감 지수는 100 중에 71 입니다.
사랑에 연애에 있어서 도저히 연인 사이라고는 생각되지 않을 만큼 사이가 안 좋은 커플을 보면 B형끼리의 만남인 경우가 많습니다.
이를 커플과 동행을 한다면 듣는 사람은 두 사람이 싸우는 것 같아 조마조마할 정도가 됩니다.
B형은 양쪽 모두 주장이 강해서 '나는 나' 스타일이기 때문에 연인으로 발전하기가 어렵습니다.
반대로 싸우다 정들면 더할 나위 없는 연인이 되지만, 대부분 서로 괴롭히다 끝나는 경우가 많기 때문입니다.
하지만 일단 서로의 공통점을 발견하면 급속도로 친해질 수 있는 묘한 커플입니다.
처음은 서로의 스타일, 즉 환경이 비슷하여 자연이 사이가 좋아지고 가식없는 사랑을 하게 됩니다.
결혼후 섹스는 마음이 일치하면 꽤 격렬하게 사랑을 나누는 커플입니다.
결혼에앞서 이 둘은 애인으로서는 만족하지만, 정작 결혼의 관문으로의 통과는 매우 적습니다.
처음 커플이 되서는 두 분은 마음 편하게 지내는 친구 사이지만 서로 성격 등이 맞지 않아 충돌이 잦습니다. 하지만 익숙해지면 매우 좋은 관계가 됩니다.
나중에는 서로 충돌하는 일이 자주 일어나나 교제가 길어짐에 따라 싸움도 줄어듭니다.
프로포즈는 두 분이 남을 전혀 신경을 쓰지 않는 타입이라 막상 결혼에 이르기가 매우 힘이들어 보이지만, 이두사람이 결혼하려면 어느 한 쪽이 져야만 가능해지는 경우입니다.","mf"
15,"BAB","B형 남자와 AB형 여자의 연애호감 지수는 100 중에 94 입니다.
이들 커플은 남성분이 여성분의 짖굿은 변덕을 받아줄 수 있는 너그러움을 갖고 있어 매우 순조롭게 사랑이 시작 됩니다.
무엇인가 일 벌이기를 좋아하는 남성분과 생활력이 강한 여성이 만났으니 서로 상호보완적인 관계를 이루게되어 더욱 가까운 커플이됩니다.
그러나 이 커플이 사랑의 열병에 빠지면, 특히 여성분이 냉정함을 잃게되고 남성분과 트러블이 생길수있는 커플이 됩니다.
첫 만남은 엉뚱한 계기로 만나기 쉬우나 급속하게 친밀해지는 커플로 남성분이 성실히 리드를 하는 편입니다.
결혼후 섹스는 남성분이 무드를 중요시 하기때문에 화려하게 즐기려고 합니다.
결혼성공율은 부부로서의 궁합이 좋아 가능성이 매우 높습니다.
처음에는 서로의 기분을 잘 아는 친밀한 관계로 시작되어, 서로가 여러가지 마음속 고민이나 밝히기 힘들었던 속마음을 털어 놓으면서 좀더 천천히 진전되어 갑니다.
연애가 계속될수록 서로의 기분을 잘 파악하는 커플이라 싸우는 일은 거의 일어나지 않습니다.
프로포즈는 연애의 기간이 매우 길어지는 경우도 있으나 바로 결혼할 수 있게 커플이 될 것입니다.","mf"
16,"BO","B형 남자와 O형 여자의 연애호감 지수는 100 중에 97 입니다.
이 커플은 사랑에 있어서 서로 공통점이 많아 만나면  이상하리만큼 기분이 업되어 들떠 있다고 볼 수 있습니다.
서로가 서로만을 보게됨으로 세상 걱정도 사라지고 유쾌한 분위기가 만들어집니다.
또한 한 분이 재미있는 제안을 하면 상대가 선뜻 받아들여 손발이 척척 맞는 커플입니다.
여성분이 조금 심한 말을 해도 남성분은 가볍게 받아주지만 도가 지나치면 남성분의 태도가 돌변해 아주 냉정하게 돌아서기 때문에 여성분을 당황하게 만들기도 합니다.
연애의 시작은 여성분이 남성분에게 접근하고 리드해 갑니다.
결혼후 섹스는 서로가 속 궁합도 잘 맞어 서로의 요구도 일치하여 강렬한 즐거움을 느끼려고 합니다.
두사람의 결혼 가능성은 상당히 높습니다.
특히 여성분이 남성분을 위해 노력한다면 더욱 가능성이 높아집니다.
연애를 시작할때 이 두사람중 여성분이 남성분을 잘 지켜 세워서 아부를 좋아하는 남성분을 기분 좋게 만들어 두사람의 거리를 상당히 좁힐 수 있습니다.
나중에 오래 사귀다 보면 남성분이 상대의 의사를 묻지않고 자기 멋대로 하여 여성분의 마음을 상하게하는 경우도 있습니다.
프로포즈는 여성분이 낭성분에게 하면 남성분이 여성분의 의견을 잘 따르는 커플이라 결혼에 성공할 가능성이 매우큰 한 쌍입니다.","mf"
17,"ABO","AB형 남자와 O형 여자의 연애호감 지수는 100 중에 72 입니다.
두분의 사랑에 있어서 여성분이 상대방에게 직설적으로 감정표현을 하는 편이며, 남성분의 매사에 분명치 않은 태도 때문에 속이 타게 됩니다.
그러나 여성분의 적극적인 추진력과 남성분의 냉정한 판단력이 합쳐지면 환상적이 커플이 될 수 있다.
연애에있어 처음은, 여성분이 먼저 친밀하게 만나려고 하면서 남성분을 리드해 갑니다.
결혼후 섹스는 여성분의 적극적인 요구하지만 남성분은 비협조적입니다.
남성분이 속 마음을 잘 표현하지 않기때문이니, 남성역시 적극적으로 나가야됩니다.
처음 커플이 되어서는 여성분의 정열적인 면이 지나치게 드러나 남성분이 여성분을 멀리할 우려가 다소 높습니다.
연애가 깊어지면 여성분의 털털한 성격이 오해를 불러 마찰을 일으킬수 있습니다.
여성분은 다소 시간이 걸리더라도 소심하게보이는듯한 남성분을 이해해주는 마음이 필요합니다. 
상대방 남성분의 이해를 구하지 않은 일은 다소 조심하시기 바랍니다.
프로포즈는 서두러 결혼 이야기를 꺼내면 도리어 여성분이 싫어하고 헤어지기도 합니다.","mf"
18,"ABAB","AB형 남자와 AB형 여자의 연애호감 지수는 100 중에 96 입니다.
두사람의 사랑에 있어서 붙임성이 좋은 두 분이 만나면 상호 의기투합할 가능성이 매우 높습니다.
지적인 대화를 나누며 서로 사랑을 확인하는 활기찬 커플이 될 수 있습니다.
남성분은 특히 외모나 분위기를 모두 만족시켜주는 여성을 선호하는 경향이 있기 때문에 다소 마찰 가능성도 예상됩니다.
여성분 또한 이상적인 남성을 찾기때문에 남성분 역시 단정하고 깔끔한 인상을 주도록 노력해야합니다.
처음 이 두사람은 자연스럽게 만나며 서로가 서로를 리드해가는 커플이 됩니다.
결혼후 섹스는 의견 투합이 잘되서 서로 대담한 플레이로 행복해 합니다.
처음의 만남에서 연애의 시작을 본다면, 커플이 되가는 상태에서 좀처럼 연인 관계로 발전하기 어렵습니다.
그러나 지적인 대화로 친밀감을 키워 나가기 때문에 행복한 환상의 커플이 될 것입니다.
연애가 깊어지면 여성분과 남성분이 서로 비판을 하여 싸우는 경우가 많은 커플이나 쉽게 헤어지지는 않습니다.
프로포즈는 특별히 어느 한쪽이 프로포즈를 하면 쉽게 성사되기 때문에 결혼은 쉽게 무리 없이 진행됩니다.","mf"
20,"OA","O형 남자와 A형 여자의 연애호감 지수는 100중에 98 입니다.
사랑에 있어서도 서로의 장점을 키워줄 수 있는 아주 좋은 만남입니다.
남성분의 표나지 않는 서글서글한 성격이나 정열적인 모습을 여성분께서는 매우 이상적으로 보게됩니다.
여성분이 남성분의 리드에 따르면서도 필요에 따라 조언을 하는 이상적인 커플이라 할 수 있습니다.
처음부터 서로가 호감을 갖고 있기때문에, 시간이 지나면서 남성분이 적극적으로 대시하여 만나게 됩니다.
결혼후 섹스는 남성분이 여성분에게 깊은 친절하고 깊은 배려를 하여 서로 화목하게 즐거워 합니다.
결혼은 두 분이 모두 결혼을 원하므로 가능성이 꽤 높은 편입니다.
이성친구에서 출발하여 연애커플이 되서는 남성분이 리더하고 여성분이 받쳐주는 아주 좋은 관계가 됩니다.
그러나 남성분이 A형여성의 자존심을 건드리면 쉽게 헤어질 수 있으니 주의해야 합니다.
나중에는 남성분의 대범한 성격이 여성분에게 거슬려 크고작은 싸움이 잦으나 이 둘은 서로를 배려하기때문에 무난히 해결됩니다.
프로포즈는 여성분이 좀처럼 들뜨는 일이 없으나, 서로에게 이끌리는 묘한 매력이 강력하기때문에 결혼에 이를 가능성이 높습니다.","mf"
21,"OB","O형 남자와 B형 여자의 연애호감 지수는 100 중에 85 입니다.
사랑에서도 이 커플은 일할 때나 놀 때도 열심히 애정표현을 하기때문에 시간 가는 줄 모르고 호흡을 맞추는 커플이 될 것입니다.
여성분은 남성분에게서 남자다운 매력을 느끼고 남성분은 활달한 여성분을 앙증맞고 귀엽게 느끼고 있습니다.
반면에 남성분의 독점욕이 강하여 두 분에게 어려움이 따르기도 합니다.
그러나 여성분의 상냥함으로 남성분의 사기를 북돋워 주기때문에 따로 신경을써야하는 일은 별로 보이지 않습니다.
처음은 남성분이 여성분을 좋아하여 접근하고, 남성분이 여성분을 능숙하게 칭찬하며 친절히 리드를 합니다.
결혼후 섹스는 서로가 탐구심이 왕성하고 실증을 안내고 열심히 애정표현을 합니다.
처음 커플이 되서는 서로가 서로의 자기 주장이 강하기 때문에 교제 초기에는 마찰이 심합니다.
그러나 나중에는 서로가 자기 페이스를 지키고 많은 충고를 하여 상대방에대한 이해의 폭이 높아갑니다.
프로포즈는 남성분과 여성분이 정신적으로 엮어지기 쉬워서 결혼까지도 부드럽게 발전할수 있습니다.","mf"
22,"OO","O형 남자와 O형 여자의 연애호감 지수는 100 중에 87 입니다.
사랑에 있어서도 서로가 호흡이 잘 맞는 커플입니다.
연애에있어 처음부터 의리있고 오랜 친구처럼 끈끈한 다정한 사이가 될 것입니다.
비슷한 성격때문에 경쟁의식이 생길 수도 있고, 자신이 바라는 이상형처럼 행동해 주기를 바라는 마음이 생겨서 갈등이 일어날 수도 있습니다.
대부분의 여성분은 남성분의 진실을 알게되면서 더욱 가깝고 친밀한 커플이 될 것입니다.
연애의 초기단계부터 남성분이 여성분에게 과감하게 접근하고 남성분이 여성분을 리드를 합니다.
결혼후 섹스는 서로가 성에 관심이 많아서 즐거움을 알게 될 것입니다.
연애가 진전될수록 여성분이 남성분의 마음을 이해해주는 폭이 넓어집니다.
그래서 이 두 연인은 오래된 연인처럼 서로를 아끼는 즐거운 커플이 될 것입니다.
나중에는 여성분이 자기 주장을 강하게 나타내어 서로 싸움도 하고 고민도 합니다.
프로포즈는 남성분과 여성분에게 적극적인 행동으로 자연스럽게 결혼에 이르기도 합니다.","mf"
23,"OAB","O형 남자와 AB형 여자의 커플링 연애 지수는 100 중에 77 입니다.
사랑에 있어서는 이 커플은 극단적인 성격을 갖고 있습니다.
그렇지만 서로 모자란 부분을 보완하면서 좋은 관계를 유지합니다.
그리고 남성분은 여성분에게 지극한 사랑을 보여 주지만 여성분은 그 사랑을 쉽게 받아드리지 못하는 경향이 있습니다.
처음은 남성분이 뜨겁게 다가오고 여성분은 그 사랑에 안기고 싶어하여 쉽게 남성분이 리드를 합니다.
결혼후 섹스는 담백한 여성분과 왕성한 남성분이 잘 맞지 않아 보입니다.
처음 커플이 되어서는 여성분의 신비스러운 분위기로 남성분을 매료시키나 여성분이 너무 로맨틱하여 어려움을 느끼는 경우도 있습니다.
두사람의 연애가 깊어질수록 여성분은 점차 대범하고 사소한 일에 얽매이지 않아서 남성분과 다툼이 없이 평화로운 만남을 유지해 갑니다.
프로포즈는 여성분이 적극적이지 않아서 결혼에 이르기까지는 어려움이 다소 따릅니다.","mf"
24,"ABA","AB형 남자와 A형 여자의 연애호감 지수는 100중에 75 입니다.
처음 사랑에 있어서는 두 사람의 성격이 모두 침착한 편이어서 서로의 장점을 충분히 인정하며 안정된 관계를 유지하게 됩니다.
특히 여성분이 남성분의 의사에 순순히 따라나서는 편입니다.
남성분역시 정신적으로 A형 여성분을 아주 잘 컨트롤 할 수 있어 환상적인 커플이 될 것입니다.
처음에 이 두사람이 마주치게되면 서로가 서로를 견제하여 진전이 어렵고, 여성분이 시작하여 만남이 시작되지만 쉽게 남성분이 리드해 갑니다.
서로 대화중심으로 데이트를 하여 약간의 격식은 차리겠지만 오해의 소지가 상당히 적습니다.
결혼후 섹스는 너무 지나치지 않고 서로 화합하며 즐깁니다.
처음 두사람이 커플이 되면 솔직하고 부드럽게 교제가 진행되며 많은 대화를 나누는 최고의 커플이 될 수 있습니다.
오랜시간 연애를 하게되면 농담이나 장난으로 한 심한 한마디가 파국의 원인이 되는 수가 있으나, 원만하게 해결이 될 것입니다.
하지만 프로포즈는 결혼이야기를 꺼내지 않는 남성에게 여성분이 불신감을 느끼게 되기 쉽기때문에, 쉽게 이루어지기는 어렵습니다.
연인보다는 친구로 남는 경우가 훨씬 많이 있습니다.","mf"
25,"ABB","AB형 남자와 B형 여자의 연애호감 지수는 100 중에 91 입니다.
사랑에 있어서 여성분은 상대 남성분의 온화하고 다정다감한 성격에 안도감을 느끼며, 마음의 위안을 찾습니다.
그러나 이따금 남성분이 상식 밖의 돌출행동을 해서 어려움이 느낌니다.
AB형 남성분은 자신의 속마음을 잘 드러내지 않기때문에 적극적인 여성분의 마음을 상하게도 합니다.
연애에있어 처음은 여성분의 매력에 남성분이 쉽게 다가가지만 리드만큼은 역시, 주로 여성분이 하게됩니다.
결혼후 섹스는 남성분이 쉽게 표현하지 않아서 빨리 이루기는 힘드나 한번 시작하면 의외로 그 끝을 보려고 합니다.
처음 커플이 되어서는 상대방을 서로 이해 하는 한 쌍이기 때문에 두 분의 관계가 부드럽게 잘 풀리어 갈것입니다.
연애를 오래해서 여성분이 너무 자기 주장을 하면 남성분이 마음을 상하게 될수도 있습니다.
프로포즈는 서로를 감싸주는 입장이라 쉽게 하기는 어려우나 결혼에 성공하는 경우는 매우 많습니다.","mf"
