idx,title,txt
1,"복관","福官(복관)

柱臨福官(주임복관)  사주에 관복이 가득하니
富豪之命(부호지명)  재산과 기세있는 운명인 것이요 
四方有祿(사방유록)  사방에 복록이 있으니
到處得材(도처득재)  가는 곳마다 재물을 얻으리라
之南之北(지남지북)  남쪽으로 간다해도 북쪽으로 간다해도
頭領之運(두령지운)  우두머리에 올라서는 운인것이요
一生大吉(일생대길)  한 평생 크게 길한것이니
幸福之人(행복지인)  다행한 복이 따르는 사람이리라"
2,"귀예","貴禮(귀예)

周遊四方(주유사방)  사방에 기쁨이 있으니
流離之士(유리지사)  떠다니는 선비인 것이요
橫財有數(횡재유수)  재물을 쉽게 볼수있으니
千金自來(천금자래)  천금이 스스로 찾아 오리라
外人之財(외인지재)  바깥 사람의 재물이 있다면
必是妻家(필시처가)  필시 처가의 덕인 것이요
聞一知十(문일지십)  하나를 들으면 열가지를 알것이니
百事敏捷(백사민첩)  백가지일을 쉽게 해내리라"
3,"왕극","旺極(왕극)

高臺廣室(고대광실)  높고 넓은 큰 집에서
侍立君王(시립군왕)  임금을 세우고 모시리오
財旺身王(재왕신왕)  재물이 늘고 몸이 높아지니
子孫滿堂(자손만당)  자손이 집안에 가득하리라
一呼百諾(일호백락)  한번 부르면 백인이 대답하니
食客數千(식객수천)  집안의 식객의 끊이지 않으리오
萬里無雲(만리무운)  온 천하에 근심이 없으니
海天一碧(해천일벽)  온 세상이 늘 푸르리라"
4,"합을","合乙(합을)

命入合乙(명입합을)  명에 길조가 함께하니
時雨滋苗(시우자묘)  때마춘 비에 싹을 피우리오 
長安大道(장안대도)  장안의 큰 길을 나서니
日傘浮前(일산부전)  큰 양산이 앞을 들추는구나
順風掛帆(순풍괘범)  순풍에 돗대를 달았으니
安樂太平(안락태평)  편안과 기쁨을 크게 펼것이요
文學有能(문학유능)  학문을 익힘에 크게 능하니
爲人淸秀(위인청수)  사람의 됨됨이가 맑고 빼어나리라"
5,"식증","食增(식증)

命入食增(명입식증)  명에 식증이 들어있으니
衣食豊足(의식풍족)  의복과 곡식이 풍족하리요
渴馬得水(갈마득수)  목마른 말이 물을 먹음이니
意外生光(의외생광)  뜻밖의 빛을 얻음이요.
名播四方(명파사방)  이름이 사방에 퍼져가니
萬人仰視(만인앙시)  만인이 우러러 볼것이며
每事有順(매사유순)  모든 일이 순조로울 것이니
不勞自得(불로자득)  일없이 쉽게 얻으리라"
6,"인문","印門(인문)

獨坐高風(독좌고풍)  홀로 자리에 앉아 높은 바람을 맞으니
萬人仰視(만인앙시)  만인이 우러러 볼것이며
暗中行人(암중행인)  오두운 밤에 홀로 다니니
偶得明燭(우득명촉)  한쌍의 밝은 촛대를 얻음이요
山積文書(산적문서)  산처럼 샇인 많은 문서를 
每日處抉(매일처결)  매일같이 결정하여 조처할것이며
此人之事(차인지사)  이 사람의 일은
由妻敗家(유처패가)  처로 말미암아 패가 되리라"
7,"거부","巨富(거부)

陰陽相和(음양상화)  음과 양이 서로 화합하니
夫婦百年(부부백년)  남편과 아내가 백년을 함께하리요
忠義之士(충의지사)  충성과 신의를 품은 선비인것이니
名傳千秋(명전천추)  이름이 오래토록 전해지리요
日暖風和(일난풍화)  따뜻한 날에 바람마져 온화하니
百花爭發(백화쟁발)  백가지 꽃이 다투어 필것이요
萬難克服(만난극복)  수 많은 어려움을 극복할 것이니
不屈人下(불굴인하)  남에게 굽히지 아니하리라"
8,"무고","武庫(무고)

命入武庫(명입무고)  명에 무고가 들어있으니
武官最吉(무관최길)  무관에 오르는것이 가장 좋음이요
統率萬人(통솔만인)  만인을 솔통한고 거닐으니
權威振動(권위진동)  권세와 위험을 크게 떨치리오
少年勤苦(소년근고)  어린시절 근면과 어려움이 있으나
末年之福(말년지복)  장성하여 복을 지닐것이요
女人多亂(여인다난)  여자는 어려움이 많을 것이나
男子出世(남자출세)  남자는 출세하리라"
9,"산하","山河(산하)

猛虎出林(맹호출림)  용맹한 범이 숲에서 나오니
其勢堂堂(기세당당)  그 권세가 당당하구나
向者有功(향자유공)  가는 곳마다 공이 있으니
動則見利(동즉견리)  움직일 때마다 이득을 보리오
一聲號令(일성호령)  한 마디의 호령에
鎭壓邊疆(진압변강)  변방을 진압하리요
威高權高(위고권고)  위엄과 권세가 높을것이며
治國安民(치국안민)  나라를 다스리고 백성을 편안케 하리라"
10,"관인","官印(관인)

命入官印(명입관인)  명에 관인이 들어있으니
大官可期(대관가기)  큰 벼슬에 올라가리오
魚變成龍(어변성룡)  물고기가 변하여 용이 된것이니
造化無窮(조화무궁)  조화가 무궁하리라
身被錦衣(신피금의)  몸에 비단옷을 걸칠것이니
童子侍立(동자시립)  동자가 시중들고 있도다
議政壇上(의정단상)  의정단상에 올라서니
政治外交(정치외교)  정사를 논하고 외교에 힘쓰리라"
11,"시횡","施橫(시횡)

柱帶施橫(주대시횡)  사주에 시횡이 걸쳐있으니
橫財之數(횡재지수)  재물을 얻는 수가 있도다
花下飮酒(화하음주)  꽃나무 아래에서 술을 마시니
興味津津(흥미진진)  흥미하고 진진하구나
建立學院(건립학원)  학원을 세워 터를 닦으면
名傳千秋(명전천추)  명성이 천추에 전하리라
朱欄畵閣(주란화각)  화려하고 수려한 누각에
夫婦百年(부부백년)  부부가 한평생을 하리니라"
12,"재고","財庫(재고)

命入財庫(명입재고)  명에 재고가 들어있으니
大富之人(대부지인)  큰 부자가 될 사람이라
千里他鄕(천리타향)  멀고 먼 타향에 오르니
喜逢故人(희봉고인)  기쁘고 오랜 벗을 만나리오
高山植水(고산식수)  높은 산에 나무를 심고 물을 주니
積小成大(적소성대)  작은 노력으로 크게 이루리라
論其夫婦(논기부부)  함께 의논하는 부부인것이니
和樂百年(화락백년)  화평하고 즐거운 세월을 맞이하리라"
13,"고진","孤辰(고진)

命入孤辰(명입고진)  명에 외로운 기운이 깃들으니
孤獨之狀(고독지상)  홀로 외로운 상인 것이요 
兄弟無緣(형제무연)  형제간에 인연이 없으니
六親無德(육친무덕)  가족과도 덕이 없으리라
男子喪妻(남자상처)  남자는 처와 이별할 것이요
女子喪夫(여자상부)  여자는 남편과 이별할것이라
東西奔走(동서분주)  동서로 크게 오갈것이니
他鄕之客(타향지객)  타향의 나그네로다"
14,"과숙","寡宿(과숙)

寡宿入命(과숙입명)  명에 과숙이 들어있으니
夫婦無緣(부부무연)  부부의 인연이 없으리오
若無致誠(약무치성)  만일 정성됨이 없다면
生離死別(생리사별)  생이별이나 사별을 맞이하리오
廣大天地(광대천지)  넓고 넓은 하늘아래
一身無依(일신무의)  몸하나 의지할곳 없으리니
霜滿秋天(상만추천)  서리내리는 가을 하늘에
一雁孤飛(일안고비)  한 마리 기러기가 외롭게 나는구나"
15,"대패","大敗(대패)

敗星入門(패성입문)  패성이 문에 들어오니
破家移鄕(파가이향)  파가하여 고향을 떠나리라
有財多病(유재다병)  재물이 있으면 병이 많으며
貧則長壽(빈즉장수)  가난하면 장수하게 되리라
花落蝶去(화락접거)  꽃이 지고 나비가 날아가니
琴瑟不足(금술부족)  금슬이 부족하도다
暗夜空堂(암야공당)  어두운 밤 빈집에 앉아
自愁自嘆(자수자탄)  홀로 수심에 탄식하리라"
16,"적랑","赤狼(적랑)

命入赤狼(명입적랑)  명에 적랑이 들어있으니
火厄愼之(화액신지)  불을 조심할 지어다 
男負女戴(남부여대)  남자는 짐을지고 여자는 이고
千里他鄕(천리타향)  천리밖 타향으로 떠나리오
以手致敗(이수치패)  손으로 패하는것이니
莫近酒色(막근주색)  주색을 가까이 하지 말것이니라
謨事不成(모사불성)  꾀를 부려 이뤄지지 않으니
虛送歲月(허송세월)  허망하게 세월을 보내리라"
17,"팔패","八敗(팔패)

八敗命入(팔패명입)  팔패가 명에 들어있으니
虛往虛來(허왕허래)  헛되이 오고 가리다
以女致禍(이녀치화)  여자로인해 화를 입을 것이니
莫近女色(막근여색)  여색을 가까이 하지 말지어다
古基不利(고기불리)  옛 터가 이롭지 않을것이니
移鄕八字(이향팔자)  고향을 옮길 팔자로구나
游失水魚(유실수어)  헤엄치는 물고기가 물을 잃으니
秋草逢霜(추초봉상)  가을풀이 서리를 만났도다"
18,"천랑","天狼(천랑)

驚風驚虎(경풍경호)  바람에 놀라고 범에 놀라니
落眉之厄(낙미지액)  눈섭밑에 떨어진 액이로다
女子到此(여자도차)  여자가 이 수에 이르면
巫女八字(무녀팔자)  무녀의 팔자가 되리라
天狼入命(천랑입명)  천랑이 명에 들어있으니 
短命可畏(단명가외)  명이 짦을까 두렵도다
無后奉祀(무후봉사)  후사가 없는 제사를 지낸준다면
前途漸開(전도점개)  앞길이 점차 열릴것이다"
19,"소랑","小狼(소랑)

小狼入命(소랑입명)  소랑이 명에 들어있으니
水厄愼之(수액신지)  수액을 조심해야 할지어다
早死怨鬼(조사원귀)  일찍죽은 원통한 귀신이
家宅騷亂(가택소란)  집안을 소란스럽게 하리라
男則喪妻(남즉상처)  남자는 상처할 것이며
女則喪夫(여즉상부)  여자는 상부할 것이요
魚龍失水(어룡실수)  물고기와 용이 물을 잃었으니
何日得水(하일득수)  언제다시 물을 얻으리오"
20,"파가","破家(파가)

東食西宿(동식서숙)  동에서 먹고 서에서 잠을 청하니
一身奔走(일신분주)  한 몸이 몹시 바쁠것이다
盛業之中(성업지중)  하는일이 잘 되어 가다가도
意外挫折(의외좌절)  뜻밖의 일로 좌절할 지어다
信斧割足(신부할족)  믿는 도끼에 발을 찍히니
一朝散敗(일조산패)  순식간에 패하여 흩어지리라
古基不利(고기불리)  옛 터가 이롭지 않으니
移鄕爲吉(이향위길)  고향을 떠나면 길하리라"
21,"삼형","三刑(삼형)

柱臨三刑(주임삼형)  사주에 삼형이 임하니
獄門難免(옥문난면)  옥문을 면하기 어렵도다
官災隨身(관재수신)  관재가 몸에 따르니
口舌不絶(구설불절)  구설수가 끊이지 않도다
因人被害(인인피해)  타인으로 인하여 피해를 입으니
身運不吉(신운불길)  지닌 운이 길하지 않구나
欲免此厄(욕면차액)  이 액을 면하고자 하거든
積善積德(적선적덕)  착한일을 할것이며 덕을 쌓을지어다"
22,"육합","六合(육합)

夫婦之間(부부지간)  부부지간에
同樂百年(동락백년)  백년을 같이 즐기리오
速成速敗(속성속패)  속히 이루며 속히 패하니
一喜一悲(일희일비)  한번 기쁘고 한번 슬프리오
平生所愼(평생소신)  평생을 조심할 것이란
酒色之事(주색지사)  술과 여자이니라
欲免此厄(욕면차액)  이 액을 면하고자 하거든
孤兒救助(고아구조)  외로운 아이를 구하는 일을 하여라"
23,"대모","大耗(대모)

萬里長程(만리장정)  멀고먼 길을 돌아봐도
去去泰山(거거태산)  가면 갈수록 태산이로다
勿信他人(물신타인)  남을 믿지 말것이니
損者三友(손자삼우)  손해를 끼치는 벗이 셋이라
欲免此厄(욕면차액)  이 액을 면하고자 하거든
山川祈禱(산천기도)  산천에 기도를 드릴지어다
一人耕田(일인경전)  한 사람이 밭을 갈아
十人食之(십인식지)  열 사람이 먹으리라"
24,"사관","四關(사관)

柱入四關(주입사간)  사주에 사관이 들어있으니
子子之人(자자지인)  혈혈 단신이로다
飛鳥入網(비조입망)  날으는 새가 그물에 걸렸으니
安知生死(안지생사)  생과 사를 쉽게 알수있도다
若非山緣(약비산연)  만일 산과 인연이 아니라면
佛前獻功(불전헌공)  불전에 공을 드려야 할것이다
至誠如此(지성여차)  지성으로 이와같이 한다면
晩年一子(만년일자)  만년에 한 아들이로다"
